City,State,ZIP,county
Concord,CA,94520,Contra Costa County
Willits,CA,95490,Mendocino County
Petaluma,CA,94952,Marin County
Willows,CA,95988,Colusa County
Tigard,OR,97223,Multnomah County
Burlington,WA,98233,Skagit County
Oak Harbor,WA,98277,Island County
Sequim,WA,98382,Clallam County
Twisp,WA,98856,Okanogan County
Yakima,WA,98902,Yakima County
Yakima,WA,98901,Kittitas County
Grandview,WA,98930,Benton County
Colville,WA,99114,Stevens County
Spokane Valley,WA,99212,Spokane County
East Freetown,MA,02717,Bristol County
Easley,SC,29642,Anderson County
Bowdon,GA,30108,Carroll County
LaGrange,GA,30240,Troup County
Pensacola,FL,32526,Escambia County
Talladega,AL,35160,Clay County
Eufaula,AL,36027,Barbour County
Mobile,AL,36608,Mobile County
Elizabethton,TN,37643,Carter County
Crystal Springs,MS,39059,Copiah County
Joplin,MO,64801,Jasper County
Kansas City,KS,66103,Wyandotte County
Filley,NE,68357,Gage County
North Little Rock,AR,72114,Pulaski County
Grand Prairie,TX,75050,Dallas County
San Antonio,TX,78223,Bexar County
Del Rio,TX,78840,Edwards County
Pampa,TX,79065,Gray County
Lakewood,CO,80214,Denver County
Arco,ID,83213,Butte County
Gardena,CA,90248,Los Angeles County
Placentia,CA,92870,Orange County
Lancaster,CA,93534,Los Angeles County
Oakhurst,CA,93644,Madera County
Fresno,CA,93706,Fresno County
San Jose,CA,95111,Santa Clara County
Marysville,WA,98271,Snohomish County
Blue Ridge,GA,30513,Fannin County
Batesburg,SC,29006,Aiken County
Jupiter,FL,33458,Martin County
Englewood,FL,34224,Charlotte County
Imlay City,MI,48444,Lapeer County
Iowa City,IA,52240,Johnson County
Askov,MN,55704,Pine County
Belle Plaine,MN,56011,Carver County
Wilton,ND,58579,Burleigh County
Machesney Park,IL,61115,Winnebago County
Quincy,IL,62301,Adams County
Kahoka,MO,63445,Clark County
Kirksville,MO,63501,Adair County
Junction City,KS,66441,Dickinson County
Colby,KS,67701,Rawlins County
Clarks,NE,68628,Hamilton County
Oklahoma City,OK,73116,Oklahoma County
Ponca City,OK,74601,Kay County
Houston,TX,77040,Harris County
Las Vegas,NM,87701,San Miguel County
Springerville,AZ,85938,Apache County
Quemado,NM,87829,Catron County
Ruidoso Downs,NM,88346,Lincoln County
Weaverville,CA,96093,Trinity County
Ferndale,WA,98248,Whatcom County
Ferndale,WA,98248,Whatcom County
Snohomish,WA,98296,Snohomish County
Kettle Falls,WA,99141,Ferry County
Spokane,WA,99202,Spokane County
Sayner,WI,54560,Vilas County
Dillon,MT,59725,Beaverhead County
Elko,NV,89801,Elko County
Rapid City,SD,57703,Pennington County
Oconto,WI,54153,Marinette County
Carlinville,IL,62626,Macoupin County
Luray,KS,67649,Osborne County
Tustin,CA,92780,Orange County
Tremonton,UT,84337,Box Elder County
McMinnville,OR,97128,Yamhill County
Erie,KS,66733,Neosho County
Lebanon,KS,66952,Smith County
Osborne,KS,67473,Osborne County
Gulliver,MI,49840,Schoolcraft County
Lake Leelanau,MI,49653,Leelanau County
Marlette,MI,48453,Lapeer County
Newberry,MI,49868,Chippewa County
Middletown,RI,02842,Newport County
West Wareham,MA,02576,Plymouth County
Boise City,OK,73933,Cimarron County
Moriarty,NM,87035,Santa Fe County
Grants,NM,87020,Cibola County
Moriarty,NM,87035,Santa Fe County
Moriarty,NM,87035,Santa Fe County
Gallup,NM,87301,McKinley County
Caballo,NM,87931,Sierra County
Las Cruces,NM,88007,Dona Ana County
Chaparral,NM,88081,Dona Ana County
Silver City,NM,88061,Grant County
Clovis,NM,88101,Curry County
Carlsbad,NM,88220,Eddy County
Alamogordo,NM,88310,Otero County
Payson,AZ,85541,Gila County
Traverse City,MI,49686,Grand Traverse County
Benzonia,MI,49616,Benzie County
Branson,MO,65616,Stone County
Hannibal,MO,63401,Marion County
Savannah,MO,64485,Andrew County
Valley Park,MO,63088,St. Louis County
El Paso,TX,79924,El Paso County
Salinas,CA,93906,Monterey County
Hanford,CA,93230,Kings County
Post Falls,ID,83854,Kootenai County
Benzonia,MI,49616,Benzie County
Marysville,WA,98271,Snohomish County
Columbia Heights,MN,55421,Anoka County
Bloomington,MN,55420,Hennepin County
Ladson,SC,29456,Berkeley County
Trenton,SC,29847,Aiken County
Huntsville,AL,35811,Madison County
Belzoni,MS,39038,Holmes County
Wausau,WI,54401,Marathon County
Pierre,SD,57501,Hughes County
Fessenden,ND,58438,Wells County
Fairfield,MT,59436,Cascade County
Eldon,MO,65026,Miller County
Woodward,OK,73801,Woodward County
Archer City,TX,76351,Archer County
Limon,CO,80828,Elbert County
Tooele,UT,84074,Tooele County
Glendale,AZ,85301,Maricopa County
Central Point,OR,97502,Jackson County
Lynden,WA,98264,Whatcom County
Wrangell,AK,99929,Wrangell City and Borough
Albertville,AL,35950,Marshall County
Laurel,MS,39440,Jones County
Russellville,AR,72802,Pope County
Tupelo,MS,38801,Lee County
Columbus,OH,43231,Franklin County
Omak,WA,98841,Okanogan County
Cleveland,TN,37323,Bradley County
Coffeyville,KS,67337,Labette County
Frankfort,KS,66427,Marshall County
Lawrence,KS,66044,Douglas County
Mankato,KS,66956,Jewell County
Sublette,KS,67877,Haskell County
Grand Rapids,MI,49548,Kent County
Ludington,MI,49431,Mason County
Questa,NM,87556,Taos County
Ranchos de Taos,NM,87557,Taos County
Truth or Consequences,NM,87901,Sierra County
Lovington,NM,88260,Lea County
Crocker,MO,65452,Miller County
Dexter,MO,63841,Stoddard County
Eldon,MO,65026,Miller County
Marthasville,MO,63357,St. Charles County
Springfield,MO,65807,Greene County
St. Robert,MO,65583,Pulaski County
West Plains,MO,65775,Howell County
Hayward,CA,94544,Alameda County
Madera,CA,93637,Madera County
Wells,NV,89835,Elko County
Spring Creek,NV,89815,Elko County
Phoenix,AZ,85007,Maricopa County
Claremore,OK,74017,Rogers County
Medford,OR,97504,Jackson County
Tewksbury,MA,01876,Essex County
Lexington,MA,02421,Middlesex County
Riverhead,NY,11901,Suffolk County
Valley Stream,NY,11581,Nassau County
Los Angeles,CA,90062,Los Angeles County
Los Angeles,CA,90065,Los Angeles County
Los Angeles,CA,90069,Los Angeles County
West Sacramento,CA,95691,Yolo County
Kingston,RI,02881,Washington County
Victorville,CA,92395,San Bernardino County
Morris,MN,56267,Stevens County
Benson,MN,56215,Pope County
Austin,MN,55912,Freeborn County
Coon Rapids,MN,55448,Anoka County
Brooklyn Center,MN,55430,Hennepin County
St. Paul,MN,55106,Ramsey County
St. Paul,MN,55104,Ramsey County
Shorewood,MN,55331,Carver County
Shakopee,MN,55379,Scott County
Bloomington,MN,55437,Hennepin County
Eagan,MN,55122,Dakota County
Eagan,MN,55121,Dakota County
Apache Junction,AZ,85120,Maricopa County
Willcox,AZ,85643,Cochise County
Des Plaines,IL,60018,Cook County
Belgrade,MN,56312,Kandiyohi County
Luverne,MN,56156,Pipestone County
Williams,AZ,86046,Coconino County
Chicopee,MA,01020,Hampden County
Westfield,MA,01085,Hampden County
Springfield,MA,01119,Hampden County
Norwood,MA,02062,Norfolk County
Weymouth,MA,02191,Norfolk County
Hyannis,MA,02601,Barnstable County
Attleboro,MA,02703,Bristol County
New Bedford,MA,02746,Bristol County
North Attleboro,MA,02760,Bristol County
Warwick,RI,02889,Kent County
Nashua,NH,03060,Hillsborough County
Manchester,NH,03104,Hillsborough County
Portsmouth,NH,03801,Rockingham County
West Hartford,CT,06110,Hartford County
Hartford,CT,06120,Hartford County
Meriden,CT,06450,New Haven County
Danbury,CT,06810,Fairfield County
Jersey City,NJ,07306,Hudson County
East Brunswick,NJ,08816,Middlesex County
Rockville Centre,NY,11570,Nassau County
Coraopolis,PA,15108,Allegheny County
Glenshaw,PA,15116,Allegheny County
Pleasant Hills,PA,15236,Allegheny County
Pittsburgh,PA,15237,Allegheny County
Washington,PA,15301,Washington County
Erie,PA,16510,Erie County
Altoona,PA,16601,Blair County
Harrisburg,PA,17112,Dauphin County
Chambersburg,PA,17202,Franklin County
Lancaster,PA,17520,Lancaster County
Williamsport,PA,17701,Lycoming County
Allentown,PA,18103,Lehigh County
Scranton,PA,18503,Lackawanna County
Glenside,PA,19038,Montgomery County
Philadelphia,PA,19139,Philadelphia County
Philadelphia,PA,19152,Philadelphia County
Manassas Park,VA,20111,Prince William County
Gainesville,VA,20155,Prince William County
Suitland,MD,20746,Prince George's County
Baltimore,MD,21215,Baltimore County
Catonsville,MD,21228,Baltimore County
Baltimore,MD,21230,Baltimore city
Hagerstown,MD,21740,Washington County
Richmond,VA,23220,Richmond city
Richmond,VA,23224,Chesterfield County
Richmond,VA,23230,Henrico County
Richmond,VA,23234,Chesterfield County
Chesapeake,VA,23320,Chesapeake city
Virginia Beach,VA,23462,Norfolk city
Newport News,VA,23608,Newport News city
Hampton,VA,23666,Hampton city
Portsmouth,VA,23701,Portsmouth city
Petersburg,VA,23805,Dinwiddie County
Roanoke,VA,24012,Botetourt County
Roanoke,VA,24017,Roanoke city
Roanoke,VA,24017,Roanoke city
Danville,VA,24540,Pittsylvania County
Charleston,WV,25312,Kanawha County
Beckley,WV,25801,Fayette County
Parkersburg,WV,26101,Wood County
Bridgeport,WV,26330,Barbour County
Garner,NC,27529,Johnston County
Raleigh,NC,27604,Wake County
Gastonia,NC,28056,Gaston County
Asheville,NC,28805,Buncombe County
Cayce,SC,29033,Lexington County
West Columbia,SC,29170,Lexington County
Columbia,SC,29204,Richland County
Columbia,SC,29210,Lexington County
Columbia,SC,29223,Richland County
Spartanburg,SC,29303,Spartanburg County
North Charleston,SC,29406,Berkeley County
Florence,SC,29501,Darlington County
Decatur,GA,30035,DeKalb County
Smyrna,GA,30080,Cobb County
Stone Mountain,GA,30083,DeKalb County
Norcross,GA,30093,DeKalb County
Lawrenceville,GA,30044,Gwinnett County
Riverdale,GA,30274,Clayton County
Snellville,GA,30039,DeKalb County
Atlanta,GA,30319,DeKalb County
Chamblee,GA,30341,DeKalb County
Augusta,GA,30909,Columbia County
Jacksonville,FL,32205,Duval County
Jacksonville,FL,32208,Duval County
Jacksonville,FL,32216,Duval County
Jacksonville,FL,32244,Duval County
Pensacola,FL,32505,Escambia County
Fort Walton Beach,FL,32548,Okaloosa County
Gainesville,FL,32601,Alachua County
Altamonte Springs,FL,32714,Seminole County
Sanford,FL,32773,Seminole County
Winter Park,FL,32789,Orange County
Orlando,FL,32803,Orange County
Orlando,FL,32806,Orange County
Orlando,FL,32808,Orange County
Melbourne,FL,32935,Brevard County
Rockledge,FL,32955,Brevard County
Hialeah,FL,33016,Miami-Dade County
Margate,FL,33063,Broward County
Pompano Beach,FL,33069,Broward County
Brandon,FL,33511,Hillsborough County
Tampa,FL,33605,Hillsborough County
Tampa,FL,33614,Hillsborough County
St. Petersburg,FL,33709,Pinellas County
Clearwater,FL,33765,Pinellas County
Seminole,FL,33778,Pinellas County
Birmingham,AL,35206,Jefferson County
Birmingham,AL,35208,Jefferson County
Vestavia Hills,AL,35216,Jefferson County
Tuscaloosa,AL,35405,Tuscaloosa County
Decatur,AL,35601,Morgan County
Huntsville,AL,35816,Madison County
Gadsden,AL,35901,Cherokee County
Montgomery,AL,36108,Montgomery County
Mobile,AL,36608,Mobile County
Auburn,AL,36830,Bullock County
Madison,TN,37115,Davidson County
Murfreesboro,TN,37129,Rutherford County
Old Hickory,TN,37138,Davidson County
Nashville,TN,37203,Davidson County
Nashville,TN,37209,Cheatham County
Athens,TN,37303,McMinn County
Chattanooga,TN,37408,Hamilton County
East Ridge,TN,37412,Hamilton County
Bristol,TN,37620,Sullivan County
Knoxville,TN,37912,Knox County
Knoxville,TN,37919,Knox County
Knoxville,TN,37934,Knox County
Memphis,TN,38114,Shelby County
Memphis,TN,38115,Shelby County
Memphis,TN,38116,Shelby County
Memphis,TN,38122,Shelby County
Jackson,TN,38301,Haywood County
Meridian,MS,39301,Clarke County
Louisville,KY,40213,Jefferson County
Elsmere,KY,41018,Boone County
Newark,OH,43055,Licking County
Columbus,OH,43206,Franklin County
Columbus,OH,43213,Franklin County
Columbus,OH,43231,Franklin County
Columbus,OH,43232,Franklin County
Toledo,OH,43615,Lucas County
Zanesville,OH,43701,Muskingum County
Elyria,OH,44035,Lorain County
Cleveland,OH,44102,Cuyahoga County
Kent,OH,44240,Portage County
Streetsboro,OH,44241,Portage County
Ravenna,OH,44266,Portage County
Akron,OH,44310,Summit County
Middletown,OH,45042,Butler County
Cincinnati,OH,45251,Hamilton County
Cincinnati,OH,45255,Clermont County
Dayton,OH,45403,Montgomery County
Springfield,OH,45504,Clark County
Lima,OH,45805,Allen County
Indianapolis,IN,46220,Marion County
Indianapolis,IN,46222,Marion County
Indianapolis,IN,46227,Marion County
Schererville,IN,46375,Lake County
South Bend,IN,46619,St. Joseph County
Fort Wayne,IN,46803,Allen County
Jeffersonville,IN,47130,Clark County
Corydon,IN,47112,Harrison County
Richmond,IN,47374,Wayne County
Terre Haute,IN,47803,Vigo County
Southfield,MI,48034,Oakland County
Roseville,MI,48066,Macomb County
